ï»¿web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554328476-3206,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@roamingrooster1,roamingrooster,"#bigbrolove
Oh and truck locations for today are 
.
#PatriotsPlaza (333 E st. SW)
#UnionStation (2nd Mass Ave.)
#Georgetown (Thomas Jeff and K st) pic.twitter.com/wkazicylBM",0,0,3,1.55E+12,3/29/2019 8:06,/roamingrooster1/status/1111645865175863296
1554328476-3174,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@noblebat,Carrie Anne Noble,"When youâ€™re on a weekend getaway, a cherry cupcake makes a perfect breakfast. 
#georgetown #sprinklescupcakes #cupcake #writerslife @sprinkles @ Sprinkles Georgetown https://www.instagram.com/carrieannenoble7/p/BvxI0Ckg4AR/?utm_source=ig_twitter_share&igshid=zc3nbmc52zlzÂ â€_",0,0,2,1.55E+12,4/2/2019 14:12,/noblebat/status/1113187437436657665
1554328476-3252,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@PDFStreaming,PDF Streaming,#Ripple Teams With 10 New Universities for #Blockchain Research Initiative http://ow.ly/mWbL30nCfxsÂ  #UBRI #Fintech #Tech #Education #Beijing #China #CarnegieMellon #Cornell #Duke #Georgetown #MorganState #Kansas #Michigan and Northeaster universities in the #US,0,61,79,1.55E+12,2/7/2019 7:15,/PDFStreaming/status/1093528610437246976
1554328476-3232,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@CommonwealthRow,Commonwealth Row,Social; Good morning #Guyana. Want to see Richard finish his mammoth solo #row from #SierraLeone West #Africa? Come to the #beach at #Georgetown around 1700 today and cheer him on. Less than 20 miles to go of more than 3000!  pic.twitter.com/2sXo7wQLLU,0,5,18,1.55E+12,2/27/2019 4:47,/CommonwealthRow/status/1100739166567088130
1554328476-3257,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@SportsAviation,Sports + Aviation,".@GeorgetownHoops on the way to Providence
IAD  PVD
SWQ778 | N806TJ | B734
13-18 @ PC (Last Trip: 2018 | Win: 2012)
0:54
4:24pm ( | 63Âº)
372 Miles
https://bit.ly/2Gq9RMzÂ 
 Evan Dougherty | http://JetPhotos.comÂ 
#Georgetown #Hoyas #GoHoyas #BIGEAST #BIGEASThoopspic.twitter.com/fRlObo31sR",0,2,12,1.55E+12,2/5/2019 13:10,/SportsAviation/status/1092893148194529281
1554328476-3235,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@NYPost_Brazille,Zach Braziller,"ZACH TO SCHOOL: The skeptics have gone quiet. Patrick Ewing is proving he was the right choice at @GeorgetownHoops. This season, and the Hoyas' bright future, is proof: https://nypost.com/2019/02/25/patrick-ewing-is-proving-the-georgetown-skeptics-wrong/Â â€_ #hoyasaxa #georgetown",4,19,60,1.55E+12,2/25/2019 9:43,/NYPost_Brazille/status/1100089021894721537
1554328476-3224,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@cassandra17lina,cassandracarolina,"#Yale, #Georgetown, #Stanford and other schools too
Admissions are tough, so what do rich folks do?
They just cheat the systems - a total disgrace
To hardworking kids who their kids would displacepic.twitter.com/1TIvXNonpj",0,4,6,1.55E+12,3/12/2019 9:45,/cassandra17lina/status/1105510090021457926
1554328476-3237,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@SportsAviation,Sports + Aviation,"Blizzard conditions in Nebraska kept @BoilerBall and @GeorgetownHoops in the state an extra night. Both teams heading home in the next couple hours:
Purdue: https://bit.ly/2IxAcL3Â 
Georgetown: https://bit.ly/2IwQqUQÂ 
#BoilerUp #Purdue #Georgetown #Hoyas #GoHoyaspic.twitter.com/GyheDTKZxs",0,4,6,1.55E+12,2/24/2019 8:07,/SportsAviation/status/1099702294247923712
1554328476-3284,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@GeorgetownHoops,Georgetown Hoops,Malinowski is on  from downtown tonight! #golegend  MASN2/FSN #georgetown x Butler pic.twitter.com/V7jSlCmb9V,0,6,28,1.55E+12,1/2/2019 16:32,/GeorgetownHoops/status/1080622821104070656
1554328476-3216,https://twitter.com/search?l=&q=%23georgetown%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@lt_gray,WilCo Lt. Grayson Kennedy,Yes!! So awesome! An incredible organization in #Georgetown! We will be participating in a charity golf tournament April 8th at @Cimarron_Hills! @crosbykicks2 @TheLocker_gtown @SheriffChody @GeorgetownISD #KidsHelpingKids #K9sOn9 @technoqueenmomhttps://twitter.com/TheLocker_gtown/status/955629335402242048Â â€_,5,12,109,1.55E+12,3/18/2019 14:02,/lt_gray/status/1107749149469040640
