content,replies,retweets,favorites,published_date
SOURCE: Another #USC WR has entered The Transfer Portal. It's Trevon Sidney who had 7 catches for 104 yards in 2018. Has two seasons of eligibility remaining. https://bit.ly/2AGD3uW,54,112,309,1/25/2019 16:14
"The ""Ugh Factor"" level just went up 100x with THIS development: Lori Loughlin's daughter spent spring break on yacht of #USC Board of Trustee. She was aboard the yacht WHEN THE STORY BROKE. https://mol.im/a/6806497",34,46,128,3/13/2019 20:36
Banned from Galen Center but not Dedeaux Field! #USC https://twitter.com/yankees23/status/1112526127032078337Â â€_,3,3,52,3/31/2019 18:26
"College visits coming up :
#LSU , #UGA , #OhioState , #USC , #FloridaState , #Texas , #Oklahoma , #Rice 

@samspiegs , @TonyGerdeman , @Scott_Schrader , @MikeRoach247 , @SuperK_TFB , @JasonSwanny",6,51,246,1/4/2019 17:50
#USC offers one of the top QB prospects in the 2021 class https://twitter.com/_prestonstone/status/1113203530951811074Â â€_,1,2,13,4/2/2019 15:27
"Am told the Arizona Cardinals really like #USC OC Kliff Kingsbury. He has met with them before about their head coaching vacancy, per source. https://twitter.com/BruceFeldmanCFB/status/1082384243584430080Â â€_",26,59,223,1/8/2019 7:49
Blessed to say I have revived an offer to play football at USC. Big thanks thanks to @USCCoachHelton @CoachDrev @USCFootballNews and the rest of the staff for this opportunity.  #FightOn #USC #Pac12 @GoValorFootball @valorsportsnetpic.twitter.com/zQjLM82cbj,14,47,218,1/18/2019 13:44
#CoconutCreek HS (FL) 2022 DB Trevell Mullen (@tt_mullen) visiting the #USC #Trojanspic.twitter.com/ZBz9B3XiN0,0,4,32,3/30/2019 13:35
#USC QB JT Daniels talks about how the Air Raid install has gone this spring. https://247sports.com/college/usc/Article/USC-football-JT-Daniels-Air-Raid-offense-installation-Graham-Harrell-130567125/Â â€_pic.twitter.com/TsNOGRIACb,1,6,41,3/27/2019 9:10
But this tweet from #LoriLoughlin last year.  #AdmissionsScam #collegeadmissionsscandal #USC pic.twitter.com/x2KOFFlgGp,9,54,162,3/12/2019 16:47
So I found out yesterday I got into THE UNIVERSITY OF SOUTHERN CALIFORNIA. YEAH. My life absolutely insane right now. I was in tears and I honestly still canâ€™t believe it. Beyond thankful for my blessings and my family. #USC #IGotIntoUSC pic.twitter.com/cd02XP4Eam,5,25,170,3/24/2019 20:37
Thanks to everyone who came out last night!! #BattleoftheBands #USC  pic.twitter.com/cqPGhueweb,9,6,98,3/27/2019 7:47
In case anyone was unclear on which USC came first. South Carolina came first. South Carolina is the real #USC. #GoCocks pic.twitter.com/N0K9b98l6b,0,1,2,4/1/2019 13:06
First time coming to practice! Waiting to get in  #USC #SpringPracticepic.twitter.com/RJ5kSscJFk,5,3,58,3/30/2019 9:46
Found a legend at the airport! #SCVets #SCPride #UofSC #USC pic.twitter.com/GOdbYv3cKK,0,1,5,3/31/2019 14:26
"Tunnel Vision goes LIVE at 6pm PT with myself, @keelyismyname and @ShotgunSpr talking about #USC being at the halfway point of spring plus we debut some cool new backdrops for the studio! https://247sports.com/college/usc/Article/Tunnel-Vision-Midway-point-of-USC-spring-football-130595423/Â â€_pic.twitter.com/ULFnu4JZ8q",1,7,30,3/27/2019 16:51
For those hungry kids out there grinding for an opportunity. Hereâ€™s youâ€™re shot! Put your talents on display and make a name for yourself this summer! #SC19 #FightOn #USC  pic.twitter.com/hv89slGJEh,0,21,79,3/8/2019 14:11
Amazing Aerial Photo Of Two F/A-18F #SuperHornet over @RoseBowlStadium before the #USC vs #UCLA Game. We can't wait to see the photos from tomorrow's flyover.  #Flyover @westcoastaerial @PasadenaGov @NAS_Lemoore @USNavy @cencio4https://theaviationist.com/2018/12/31/take-a-look-at-this-amazing-aerial-photo-of-two-f-a-18f-super-hornets-doing-the-usc-vs-ucla-game-flyover/Â â€_,0,4,16,12/31/2018 16:26
"The Friday notes column looked at both sides in the #USC naming rights controversy
https://insideusc.blog/2019/03/29/if-its-friday-its-time-for-a-usc-notes-column-31/Â â€_pic.twitter.com/SuTXR1yjkL",1,2,3,3/29/2019 17:45
"MTO Shahmaghsoudi participates at the largest book festival in the US: 2019 Los Angeles Times Festival of Books:
http://mto.org/mto_usa_events/events/342/Â â€_
#festivalofbooks #losangeles #sufism #islamicsufism #islam #mto #mtoshahmaghsoudi #USC #latimes... http://mto.org/mto_usa_events/events/342/Â â€_",0,42,65,3/18/2019 15:20
"If you own a $100 million yacht or belong to Augusta National Golf Club, you might be in line for a nice job at #USC",4,7,80,3/13/2019 18:31
Thank you to all law enforcement agencies involved in solving this abduction & murder. Grateful for the astute @ColumbiaPDSC officer that made the traffic stop. There are not enough words to convey my heartache for the Josephson family & #USC community.,0,0,7,3/31/2019 5:27
"â€œYou donâ€™t coach ball, you coach people.â€ù And boy... do I love my people

#USC #PowerOfOne #forevertothee pic.twitter.com/HEeTDmZh1s",3,11,206,2/22/2019 17:42
